EngagementID,ContentID,ContentType,Likes,EngagementDate,CampaignID,ProductID,ViewsClicksCombined,ContentType_Clean,Views,Clicks,EngagementDate_Formatted
33,44,BLOG,3,2025-06-21,1,7,1415-76,BLOG,1415,76,21.06.2025
34,1,Socialmedia,29,2023-04-18,11,4,1223-127,SOCIAL MEDIA,1223,127,18.04.2023
35,2,VIDEO,1,2025-07-26,13,15,704-17,VIDEO,704,17,26.07.2025
36,29,NEWSLETTER,6,2025-06-11,9,19,1788-75,NEWSLETTER,1788,75,11.06.2025
37,32,Video,400,2023-01-24,7,1,9759-3095,VIDEO,9759,3095,24.01.2023
38,30,Newsletter,449,2023-01-02,16,15,2674-956,NEWSLETTER,2674,956,02.01.2023
39,24,Video,373,2023-09-02,11,11,4881-1204,VIDEO,4881,1204,02.09.2023
40,18,Video,215,2024-04-02,4,4,3222-793,VIDEO,3222,793,02.04.2024
41,8,Socialmedia,193,2024-06-01,2,12,4654-1083,SOCIAL MEDIA,4654,1083,01.06.2024
42,16,Blog,840,2023-07-23,17,8,6771-2617,BLOG,6771,2617,23.07.2023
43,34,Newsletter,92,2023-08-12,8,1,3640-370,NEWSLETTER,3640,370,12.08.2023
44,18,Newsletter,3,2025-04-10,9,8,1341-66,NEWSLETTER,1341,66,10.04.2025
45,9,Blog,4,2024-10-19,15,12,797-103,BLOG,797,103,19.10.2024
46,5,Blog,11,2024-09-29,1,1,2549-228,BLOG,2549,228,29.09.2024
47,41,Video,33,2024-06-08,3,12,1145-130,VIDEO,1145,130,08.06.2024
48,19,Video,15,2025-01-26,17,8,1648-163,VIDEO,1648,163,26.01.2025
49,41,Newsletter,0,2025-07-13,19,3,171-8,NEWSLETTER,171,8,13.07.2025
50,43,SOCIALMEDIA,11,2024-06-23,15,14,1066-110,SOCIAL MEDIA,1066,110,23.06.2024
51,44,NEWSLETTER,44,2025-02-25,6,17,2725-358,NEWSLETTER,2725,358,25.02.2025
52,41,Blog,3,2025-04-22,3,15,1617-70,BLOG,1617,70,22.04.2025
53,41,Video,2,2024-09-20,16,15,599-39,VIDEO,599,39,20.09.2024
54,40,Blog,0,2025-09-22,13,17,706-34,BLOG,706,34,22.09.2025
55,50,Blog,18,2025-04-01,18,6,2387-201,BLOG,2387,201,01.04.2025
56,24,socialmedia,1,2025-12-19,10,5,922-39,SOCIAL MEDIA,922,39,19.12.2025
57,8,Video,3,2025-01-12,7,20,944-91,VIDEO,944,91,12.01.2025
58,2,video,0,2025-11-07,17,9,578-11,VIDEO,578,11,07.11.2025
59,37,video,0,2025-07-17,10,1,219-7,VIDEO,219,7,17.07.2025
60,1,socialmedia,0,2025-10-15,19,7,404-15,SOCIAL MEDIA,404,15,15.10.2025
61,47,blog,72,2024-01-24,16,7,2847-528,BLOG,2847,528,24.01.2024
62,15,Socialmedia,2,2025-05-29,18,10,1521-33,SOCIAL MEDIA,1521,33,29.05.2025
63,31,NEWSLETTER,6,2025-03-28,16,16,1473-97,NEWSLETTER,1473,97,28.03.2025
64,49,video,0,2025-12-03,1,15,111-3,VIDEO,111,3,03.12.2025
65,3,Blog,30,2023-10-05,14,12,524-94,BLOG,524,94,05.10.2023
66,28,VIDEO,23,2024-09-12,4,5,1493-141,VIDEO,1493,141,12.09.2024
67,29,Newsletter,176,2024-06-10,2,19,5147-788,NEWSLETTER,5147,788,10.06.2024
68,33,Video,5,2024-10-20,3,19,239-43,VIDEO,239,43,20.10.2024
69,50,blog,68,2024-05-11,2,8,2935-303,BLOG,2935,303,11.05.2024
70,12,Socialmedia,10,2024-04-30,12,11,228-49,SOCIAL MEDIA,228,49,30.04.2024
71,37,Video,459,2023-03-04,11,14,4368-1156,VIDEO,4368,1156,04.03.2023
72,19,BLOG,657,2023-01-06,17,1,6991-2499,BLOG,6991,2499,06.01.2023
73,10,socialmedia,0,2025-04-06,18,3,40-4,SOCIAL MEDIA,40,4,06.04.2025
74,6,Newsletter,64,2023-08-22,7,7,4098-761,NEWSLETTER,4098,761,22.08.2023
75,11,Video,12,2024-05-01,13,18,565-137,VIDEO,565,137,01.05.2024
76,48,Blog,545,2023-03-11,14,3,6205-2834,BLOG,6205,2834,11.03.2023
77,26,Socialmedia,143,2023-08-27,20,18,1671-482,SOCIAL MEDIA,1671,482,27.08.2023
78,44,SOCIALMEDIA,2,2025-06-07,17,2,713-44,SOCIAL MEDIA,713,44,07.06.2025
79,36,video,397,2023-04-26,9,16,3632-1500,VIDEO,3632,1500,26.04.2023
80,15,video,8,2025-01-04,19,12,1535-243,VIDEO,1535,243,04.01.2025
81,30,NEWSLETTER,11,2024-06-30,11,2,581-117,NEWSLETTER,581,117,30.06.2024
82,49,Socialmedia,142,2023-04-26,8,20,1354-425,SOCIAL MEDIA,1354,425,26.04.2023
83,48,video,14,2025-02-20,9,2,1933-158,VIDEO,1933,158,20.02.2025
84,24,socialmedia,116,2023-05-22,18,14,6319-832,SOCIAL MEDIA,6319,832,22.05.2023
85,34,Video,0,2025-05-08,18,20,36-3,VIDEO,36,3,08.05.2025
86,37,BLOG,5,2025-04-06,3,7,1576-45,BLOG,1576,45,06.04.2025
87,8,BLOG,111,2024-07-27,2,2,3142-602,BLOG,3142,602,27.07.2024
88,28,socialmedia,121,2023-10-01,12,7,1360-440,SOCIAL MEDIA,1360,440,01.10.2023
89,21,Socialmedia,1,2024-11-27,2,13,214-15,SOCIAL MEDIA,214,15,27.11.2024
90,35,Video,595,2023-05-25,7,9,3338-1402,VIDEO,3338,1402,25.05.2023
91,8,Blog,9,2024-05-26,7,13,379-95,BLOG,379,95,26.05.2024
92,35,video,3,2025-05-21,3,8,516-49,VIDEO,516,49,21.05.2025
93,23,SOCIALMEDIA,147,2023-02-19,1,17,2989-1283,SOCIAL MEDIA,2989,1283,19.02.2023
94,33,Video,389,2023-02-18,15,17,2595-933,VIDEO,2595,933,18.02.2023
95,35,newsletter,22,2024-08-15,1,7,1193-209,NEWSLETTER,1193,209,15.08.2024
96,17,Blog,32,2024-07-15,14,13,712-142,BLOG,712,142,15.07.2024
97,34,blog,3,2025-07-01,16,7,696-47,BLOG,696,47,01.07.2025
98,44,blog,0,2025-08-20,11,8,231-10,BLOG,231,10,20.08.2025
99,26,Blog,119,2024-04-15,17,4,3511-479,BLOG,3511,479,15.04.2024
100,32,Video,34,2024-05-05,15,13,2657-175,VIDEO,2657,175,05.05.2024
101,44,Newsletter,755,2023-04-14,2,12,7637-3102,NEWSLETTER,7637,3102,14.04.2023
102,11,BLOG,234,2023-04-01,7,7,7389-927,BLOG,7389,927,01.04.2023
103,15,Newsletter,5,2024-12-15,16,16,949-38,NEWSLETTER,949,38,15.12.2024
104,25,SOCIALMEDIA,133,2023-09-24,11,12,5433-892,SOCIAL MEDIA,5433,892,24.09.2023
105,10,Blog,465,2023-08-10,16,11,4327-1380,BLOG,4327,1380,10.08.2023
106,13,socialmedia,335,2023-08-23,17,11,7793-951,SOCIAL MEDIA,7793,951,23.08.2023
107,20,Blog,0,2025-01-27,6,12,150-4,BLOG,150,4,27.01.2025
108,48,Blog,56,2023-10-26,15,6,2826-264,BLOG,2826,264,26.10.2023
109,25,BLOG,81,2024-08-07,20,4,1998-458,BLOG,1998,458,07.08.2024
110,12,SOCIALMEDIA,75,2024-06-09,3,4,1408-307,SOCIAL MEDIA,1408,307,09.06.2024
111,34,blog,10,2025-05-18,7,8,1942-99,BLOG,1942,99,18.05.2025
112,45,NEWSLETTER,57,2024-05-09,10,10,2195-578,NEWSLETTER,2195,578,09.05.2024
113,49,video,31,2023-02-08,17,14,898-184,VIDEO,898,184,08.02.2023
114,32,Socialmedia,0,2025-06-30,18,18,314-12,SOCIAL MEDIA,314,12,30.06.2025
115,31,Newsletter,113,2023-05-17,18,11,3068-1210,NEWSLETTER,3068,1210,17.05.2023
116,35,video,0,2025-03-15,1,19,106-7,VIDEO,106,7,15.03.2025
117,23,Socialmedia,0,2025-09-24,12,18,924-32,SOCIAL MEDIA,924,32,24.09.2025
118,39,blog,0,2025-12-04,17,7,191-3,BLOG,191,3,04.12.2025
119,45,BLOG,117,2023-07-12,11,15,3962-426,BLOG,3962,426,12.07.2023
120,33,VIDEO,164,2023-09-14,1,7,1674-486,VIDEO,1674,486,14.09.2023
121,5,VIDEO,1071,2023-02-09,17,7,8641-3301,VIDEO,8641,3301,09.02.2023
122,13,Video,63,2024-04-17,6,12,5471-615,VIDEO,5471,615,17.04.2024
123,15,blog,0,2025-12-16,7,8,908-38,BLOG,908,38,16.12.2025
124,39,blog,32,2024-11-16,7,19,2847-274,BLOG,2847,274,16.11.2024
125,44,SOCIALMEDIA,29,2023-08-22,12,20,621-199,SOCIAL MEDIA,621,199,22.08.2023
126,34,blog,19,2025-04-27,20,4,2086-218,BLOG,2086,218,27.04.2025
127,41,video,19,2023-10-29,6,6,989-103,VIDEO,989,103,29.10.2023
128,35,newsletter,109,2024-02-27,17,5,2235-408,NEWSLETTER,2235,408,27.02.2024
129,7,Blog,2,2024-08-17,5,1,401-30,BLOG,401,30,17.08.2024
130,5,SOCIALMEDIA,120,2024-02-05,11,1,2081-406,SOCIAL MEDIA,2081,406,05.02.2024
131,49,newsletter,45,2024-03-30,11,16,2977-695,NEWSLETTER,2977,695,30.03.2024
132,2,Socialmedia,88,2023-07-28,19,8,2773-541,SOCIAL MEDIA,2773,541,28.07.2023
133,44,VIDEO,2,2025-04-18,18,6,415-34,VIDEO,415,34,18.04.2025
134,1,Socialmedia,0,2025-09-08,11,14,359-18,SOCIAL MEDIA,359,18,08.09.2025
135,21,Socialmedia,30,2024-12-20,18,16,2949-352,SOCIAL MEDIA,2949,352,20.12.2024
136,30,Blog,524,2023-07-05,16,8,6423-2478,BLOG,6423,2478,05.07.2023
137,3,BLOG,46,2023-11-07,9,9,782-239,BLOG,782,239,07.11.2023
138,19,VIDEO,113,2024-01-02,15,17,2352-425,VIDEO,2352,425,02.01.2024
139,48,Socialmedia,51,2024-01-20,11,12,1629-404,SOCIAL MEDIA,1629,404,20.01.2024
140,11,Video,394,2023-03-08,6,6,7397-1971,VIDEO,7397,1971,08.03.2023
141,47,video,30,2024-01-24,13,16,861-264,VIDEO,861,264,24.01.2024
142,35,Video,0,2025-11-05,6,1,261-5,VIDEO,261,5,05.11.2025
143,34,Blog,273,2023-10-22,8,1,3932-784,BLOG,3932,784,22.10.2023
144,27,socialmedia,3,2025-02-07,10,12,689-44,SOCIAL MEDIA,689,44,07.02.2025
145,26,Newsletter,14,2025-04-12,15,11,1662-123,NEWSLETTER,1662,123,12.04.2025
146,18,NEWSLETTER,0,2025-09-10,20,10,415-8,NEWSLETTER,415,8,10.09.2025
147,13,Socialmedia,5,2025-04-19,5,1,1219-74,SOCIAL MEDIA,1219,74,19.04.2025
148,3,blog,97,2023-10-10,17,16,3003-918,BLOG,3003,918,10.10.2023
149,26,socialmedia,389,2023-02-01,7,4,6616-805,SOCIAL MEDIA,6616,805,01.02.2023
150,45,SOCIALMEDIA,85,2024-07-25,6,13,4611-373,SOCIAL MEDIA,4611,373,25.07.2024
151,30,blog,299,2024-05-30,1,12,5131-1303,BLOG,5131,1303,30.05.2024
152,32,newsletter,15,2024-07-05,4,4,1237-214,NEWSLETTER,1237,214,05.07.2024
153,41,blog,0,2025-12-15,6,16,392-5,BLOG,392,5,15.12.2025
154,1,Newsletter,208,2023-08-20,16,17,2857-804,NEWSLETTER,2857,804,20.08.2023
155,3,Blog,33,2024-05-03,17,11,4350-269,BLOG,4350,269,03.05.2024
156,24,socialmedia,26,2024-01-18,19,4,1657-164,SOCIAL MEDIA,1657,164,18.01.2024
157,36,Socialmedia,7,2025-01-14,10,3,743-47,SOCIAL MEDIA,743,47,14.01.2025
158,17,Newsletter,207,2023-06-03,4,12,4613-1539,NEWSLETTER,4613,1539,03.06.2023
159,29,Socialmedia,9,2024-10-04,5,18,361-64,SOCIAL MEDIA,361,64,04.10.2024
160,2,NEWSLETTER,0,2025-12-28,17,6,811-21,NEWSLETTER,811,21,28.12.2025
161,39,BLOG,180,2024-04-19,18,19,4407-1105,BLOG,4407,1105,19.04.2024
162,23,BLOG,7,2025-03-17,17,14,1211-104,BLOG,1211,104,17.03.2025
163,9,video,233,2023-01-08,16,5,4613-1553,VIDEO,4613,1553,08.01.2023
164,6,socialmedia,32,2024-09-07,6,14,2995-432,SOCIAL MEDIA,2995,432,07.09.2024
165,44,Newsletter,314,2023-04-27,8,5,2831-1085,NEWSLETTER,2831,1085,27.04.2023
166,30,Newsletter,37,2023-10-15,13,5,1671-280,NEWSLETTER,1671,280,15.10.2023
167,19,NEWSLETTER,564,2023-07-17,8,3,8049-2900,NEWSLETTER,8049,2900,17.07.2023
168,36,SOCIALMEDIA,21,2025-05-14,15,14,1969-201,SOCIAL MEDIA,1969,201,14.05.2025
169,26,newsletter,1,2024-10-18,10,2,101-11,NEWSLETTER,101,11,18.10.2024
170,46,Newsletter,1,2025-10-02,13,13,968-37,NEWSLETTER,968,37,02.10.2025
171,46,VIDEO,0,2025-11-05,1,19,79-2,VIDEO,79,2,05.11.2025
172,26,socialmedia,15,2023-12-13,9,1,801-97,SOCIAL MEDIA,801,97,13.12.2023
173,20,video,393,2023-05-09,17,3,6025-2221,VIDEO,6025,2221,09.05.2023
174,16,SOCIALMEDIA,27,2024-05-16,3,18,5073-312,SOCIAL MEDIA,5073,312,16.05.2024
175,4,video,16,2024-06-10,15,16,3550-300,VIDEO,3550,300,10.06.2024
176,9,SOCIALMEDIA,16,2023-06-28,5,4,1142-121,SOCIAL MEDIA,1142,121,28.06.2023
177,2,blog,773,2023-03-24,5,7,8103-1781,BLOG,8103,1781,24.03.2023
178,21,newsletter,95,2023-09-11,11,13,3906-465,NEWSLETTER,3906,465,11.09.2023
179,25,video,3,2025-05-04,19,19,1052-65,VIDEO,1052,65,04.05.2025
180,39,Blog,113,2024-01-18,11,12,4079-473,BLOG,4079,473,18.01.2024
181,16,Video,12,2025-02-02,14,13,2963-199,VIDEO,2963,199,02.02.2025
182,7,Video,6,2024-04-29,20,12,422-68,VIDEO,422,68,29.04.2024
183,50,blog,5,2025-01-25,4,16,1395-87,BLOG,1395,87,25.01.2025
184,27,blog,0,2025-08-31,13,15,168-6,BLOG,168,6,31.08.2025
185,10,blog,66,2024-03-09,9,2,2229-255,BLOG,2229,255,09.03.2024
186,9,newsletter,24,2024-12-16,11,13,2308-187,NEWSLETTER,2308,187,16.12.2024
187,45,blog,197,2024-03-29,6,10,2478-717,BLOG,2478,717,29.03.2024
188,18,blog,2,2025-04-19,20,7,2009-53,BLOG,2009,53,19.04.2025
189,50,blog,266,2023-10-14,4,9,2523-840,BLOG,2523,840,14.10.2023
190,1,newsletter,400,2023-05-13,17,11,5753-1480,NEWSLETTER,5753,1480,13.05.2023
191,23,NEWSLETTER,13,2025-01-30,18,19,2687-123,NEWSLETTER,2687,123,30.01.2025
192,41,SOCIALMEDIA,54,2024-09-24,10,12,1556-312,SOCIAL MEDIA,1556,312,24.09.2024
193,30,blog,26,2024-07-28,9,2,3358-400,BLOG,3358,400,28.07.2024
194,34,Socialmedia,125,2023-08-15,15,10,5719-587,SOCIAL MEDIA,5719,587,15.08.2023
195,13,socialmedia,1,2024-06-07,10,10,76-7,SOCIAL MEDIA,76,7,07.06.2024
196,33,video,0,2025-12-01,13,4,769-28,VIDEO,769,28,01.12.2025
197,20,Video,172,2023-12-31,4,11,5012-1452,VIDEO,5012,1452,31.12.2023
198,4,Video,117,2023-02-01,8,12,2336-1076,VIDEO,2336,1076,01.02.2023
199,6,Socialmedia,4,2025-04-28,1,5,1754-63,SOCIAL MEDIA,1754,63,28.04.2025
200,38,newsletter,72,2023-02-23,14,10,653-240,NEWSLETTER,653,240,23.02.2023
201,14,blog,0,2025-06-27,1,5,786-21,BLOG,786,21,27.06.2025
202,9,Video,1,2025-04-20,17,2,680-27,VIDEO,680,27,20.04.2025
203,13,socialmedia,306,2023-01-04,1,18,4496-1368,SOCIAL MEDIA,4496,1368,04.01.2023
204,15,NEWSLETTER,6,2024-12-04,11,7,1799-160,NEWSLETTER,1799,160,04.12.2024
205,18,NEWSLETTER,253,2023-02-28,13,1,5215-741,NEWSLETTER,5215,741,28.02.2023
206,14,blog,7,2025-04-06,9,20,1992-109,BLOG,1992,109,06.04.2025
207,50,Newsletter,6,2025-02-10,1,14,440-50,NEWSLETTER,440,50,10.02.2025
208,31,Blog,2,2024-04-24,15,18,131-32,BLOG,131,32,24.04.2024
209,25,VIDEO,1,2025-08-10,3,7,779-24,VIDEO,779,24,10.08.2025
210,8,Socialmedia,232,2023-08-23,13,12,2113-624,SOCIAL MEDIA,2113,624,23.08.2023
211,15,Socialmedia,0,2025-06-24,12,1,632-17,SOCIAL MEDIA,632,17,24.06.2025
212,17,Blog,3,2024-12-06,18,16,379-20,BLOG,379,20,06.12.2024
213,9,Newsletter,24,2023-02-01,16,3,159-53,NEWSLETTER,159,53,01.02.2023
214,3,SOCIALMEDIA,0,2025-05-20,16,1,423-20,SOCIAL MEDIA,423,20,20.05.2025
215,17,Blog,21,2023-12-13,14,3,4381-303,BLOG,4381,303,13.12.2023
216,32,Video,234,2023-08-06,4,17,4938-1068,VIDEO,4938,1068,06.08.2023
217,10,Video,279,2023-01-30,4,12,6297-1624,VIDEO,6297,1624,30.01.2023
218,50,Video,80,2024-09-18,18,9,2280-480,VIDEO,2280,480,18.09.2024
219,45,Socialmedia,376,2023-03-15,5,20,2900-1294,SOCIAL MEDIA,2900,1294,15.03.2023
220,24,newsletter,53,2024-01-16,11,4,4512-432,NEWSLETTER,4512,432,16.01.2024
221,24,Newsletter,51,2024-03-09,6,20,1671-199,NEWSLETTER,1671,199,09.03.2024
222,12,Blog,0,2025-08-16,17,8,93-4,BLOG,93,4,16.08.2025
223,17,socialmedia,2,2025-08-10,3,4,1157-42,SOCIAL MEDIA,1157,42,10.08.2025
224,11,blog,4,2025-06-18,7,4,1625-62,BLOG,1625,62,18.06.2025
225,20,Socialmedia,71,2023-05-29,13,3,2610-245,SOCIAL MEDIA,2610,245,29.05.2023
226,19,Newsletter,5,2025-02-03,7,10,301-37,NEWSLETTER,301,37,03.02.2025
227,21,Newsletter,5,2025-03-06,20,10,918-73,NEWSLETTER,918,73,06.03.2025
228,35,video,0,2025-11-02,2,19,780-18,VIDEO,780,18,02.11.2025
229,18,Video,291,2023-01-27,17,12,2361-746,VIDEO,2361,746,27.01.2023
230,30,newsletter,23,2025-01-10,3,10,1489-162,NEWSLETTER,1489,162,10.01.2025
231,29,Newsletter,39,2023-05-23,13,8,2236-396,NEWSLETTER,2236,396,23.05.2023
232,38,video,105,2023-09-09,8,8,4956-495,VIDEO,4956,495,09.09.2023
233,30,SOCIALMEDIA,0,2025-08-05,1,11,1063-20,SOCIAL MEDIA,1063,20,05.08.2025
234,23,blog,7,2024-03-13,11,7,191-41,BLOG,191,41,13.03.2024
235,22,newsletter,78,2024-08-12,2,19,3808-520,NEWSLETTER,3808,520,12.08.2024
236,27,NEWSLETTER,78,2024-01-15,16,13,1857-324,NEWSLETTER,1857,324,15.01.2024
237,20,newsletter,0,2025-10-24,5,1,579-10,NEWSLETTER,579,10,24.10.2025
238,42,Blog,14,2023-11-19,9,15,1426-167,BLOG,1426,167,19.11.2023
239,11,Video,10,2024-09-24,11,10,1445-83,VIDEO,1445,83,24.09.2024
240,34,video,0,2025-10-23,20,1,801-38,VIDEO,801,38,23.10.2025
241,4,VIDEO,41,2023-06-04,17,6,2226-478,VIDEO,2226,478,04.06.2023
242,38,video,70,2023-05-13,17,19,2178-280,VIDEO,2178,280,13.05.2023
243,2,Newsletter,336,2023-04-05,6,3,3829-1284,NEWSLETTER,3829,1284,05.04.2023
244,8,newsletter,22,2025-02-03,11,18,1907-282,NEWSLETTER,1907,282,03.02.2025
245,39,Video,339,2023-02-15,10,7,9002-2059,VIDEO,9002,2059,15.02.2023
246,30,VIDEO,256,2024-03-06,20,5,4556-1277,VIDEO,4556,1277,06.03.2024
247,40,Blog,193,2024-02-01,9,1,5576-860,BLOG,5576,860,01.02.2024
248,45,blog,1,2025-04-23,16,4,680-24,BLOG,680,24,23.04.2025
249,47,VIDEO,0,2025-06-21,10,11,194-12,VIDEO,194,12,21.06.2025
250,9,Video,708,2023-03-01,17,15,3931-1744,VIDEO,3931,1744,01.03.2023
251,24,Socialmedia,0,2025-03-22,2,10,254-17,SOCIAL MEDIA,254,17,22.03.2025
252,29,SOCIALMEDIA,0,2025-11-16,10,5,456-8,SOCIAL MEDIA,456,8,16.11.2025
253,46,Video,363,2023-04-11,16,3,2279-972,VIDEO,2279,972,11.04.2023
254,16,Video,0,2025-09-18,1,6,328-12,VIDEO,328,12,18.09.2025
255,4,Newsletter,63,2024-10-12,19,4,3126-617,NEWSLETTER,3126,617,12.10.2024
256,16,Blog,29,2025-01-04,15,15,3106-290,BLOG,3106,290,04.01.2025
257,16,NEWSLETTER,0,2025-12-03,7,19,622-20,NEWSLETTER,622,20,03.12.2025
258,32,socialmedia,132,2023-10-28,7,3,3715-1027,SOCIAL MEDIA,3715,1027,28.10.2023
259,41,Newsletter,29,2024-07-20,1,17,1629-388,NEWSLETTER,1629,388,20.07.2024
260,7,Video,14,2025-04-08,15,13,1920-177,VIDEO,1920,177,08.04.2025
261,36,video,12,2025-01-05,17,15,852-79,VIDEO,852,79,05.01.2025
262,32,Blog,0,2025-07-07,10,6,171-6,BLOG,171,6,07.07.2025
263,3,Newsletter,11,2025-04-23,20,8,2044-132,NEWSLETTER,2044,132,23.04.2025
264,35,SOCIALMEDIA,0,2025-07-20,16,10,473-23,SOCIAL MEDIA,473,23,20.07.2025
265,10,SOCIALMEDIA,5,2023-07-24,1,5,164-64,SOCIAL MEDIA,164,64,24.07.2023
266,13,Blog,0,2025-03-19,13,9,553-16,BLOG,553,16,19.03.2025
267,34,Video,42,2023-11-18,14,7,4348-376,VIDEO,4348,376,18.11.2023
268,23,Socialmedia,235,2023-01-30,3,12,5367-1627,SOCIAL MEDIA,5367,1627,30.01.2023
269,43,socialmedia,232,2023-10-22,3,16,6484-763,SOCIAL MEDIA,6484,763,22.10.2023
270,35,Newsletter,203,2023-04-17,20,1,4749-2069,NEWSLETTER,4749,2069,17.04.2023
271,28,Socialmedia,0,2025-11-12,19,1,774-27,SOCIAL MEDIA,774,27,12.11.2025
272,50,Video,0,2025-10-25,8,15,198-8,VIDEO,198,8,25.10.2025
273,10,blog,60,2023-11-11,9,19,506-175,BLOG,506,175,11.11.2023
274,20,Video,820,2023-02-14,12,2,5486-1725,VIDEO,5486,1725,14.02.2023
275,19,NEWSLETTER,9,2025-04-02,10,8,951-117,NEWSLETTER,951,117,02.04.2025
276,27,SOCIALMEDIA,13,2024-10-10,11,17,1079-73,SOCIAL MEDIA,1079,73,10.10.2024
277,15,Newsletter,285,2023-09-26,8,13,4437-789,NEWSLETTER,4437,789,26.09.2023
278,38,newsletter,426,2023-05-02,2,10,8679-967,NEWSLETTER,8679,967,02.05.2023
279,50,newsletter,13,2024-09-13,3,3,1741-86,NEWSLETTER,1741,86,13.09.2024
280,21,Socialmedia,9,2024-11-20,18,11,779-88,SOCIAL MEDIA,779,88,20.11.2024
281,34,socialmedia,0,2025-04-06,9,18,115-5,SOCIAL MEDIA,115,5,06.04.2025
282,35,Blog,1,2025-06-19,13,14,998-72,BLOG,998,72,19.06.2025
283,17,blog,1,2025-05-26,10,16,961-29,BLOG,961,29,26.05.2025
284,30,Video,41,2024-11-01,1,7,3654-231,VIDEO,3654,231,01.11.2024
285,12,blog,25,2025-02-04,10,15,2374-300,BLOG,2374,300,04.02.2025
286,2,Video,6,2025-03-08,17,9,745-78,VIDEO,745,78,08.03.2025
287,41,socialmedia,0,2025-11-13,2,17,625-25,SOCIAL MEDIA,625,25,13.11.2025
288,21,socialmedia,255,2023-07-02,6,10,7333-1200,SOCIAL MEDIA,7333,1200,02.07.2023
289,16,Blog,40,2024-11-24,6,2,2622-364,BLOG,2622,364,24.11.2024
290,20,Socialmedia,521,2023-09-25,13,7,6881-2028,SOCIAL MEDIA,6881,2028,25.09.2023
291,34,Newsletter,47,2024-08-29,18,12,1683-321,NEWSLETTER,1683,321,29.08.2024
292,47,blog,259,2023-07-11,7,15,6436-1497,BLOG,6436,1497,11.07.2023
293,35,Socialmedia,91,2024-07-04,13,5,1712-395,SOCIAL MEDIA,1712,395,04.07.2024
294,38,Blog,523,2023-10-31,15,16,7071-1859,BLOG,7071,1859,31.10.2023
295,27,VIDEO,520,2023-12-15,1,17,5666-1655,VIDEO,5666,1655,15.12.2023
296,37,socialmedia,169,2023-02-15,14,13,3196-1111,SOCIAL MEDIA,3196,1111,15.02.2023
