JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
1668,6,16,2023-11-22,PRODUCTPAGE,View,220.0
1199,6,16,2025-07-16,PRODUCTPAGE,View,287.0
3529,6,16,2025-10-18,PRODUCTPAGE,View,141.0
1992,6,17,2023-09-07,HOMEPAGE,View,293.0
2688,6,17,2024-02-15,HOMEPAGE,Click,157.0
1783,6,18,2024-11-14,HOMEPAGE,View,279.0
2616,6,18,2025-12-20,HOMEPAGE,View,162.0
3250,6,20,2024-12-17,HOMEPAGE,View,75.0
2631,7,1,2023-03-03,HOMEPAGE,Click,30.0
3118,7,1,2025-11-11,CHECKOUT,Purchase,73.0
2032,7,2,2023-07-15,PRODUCTPAGE,View,75.0
3331,7,4,2023-07-08,HOMEPAGE,View,30.0
1750,7,5,2023-11-10,PRODUCTPAGE,View,181.0
2348,7,6,2024-04-11,CHECKOUT,Drop-off,172.25
227,7,6,2024-05-01,PRODUCTPAGE,Click,171.0
2597,7,6,2024-07-01,PRODUCTPAGE,View,273.0
1413,7,7,2023-02-28,HOMEPAGE,View,173.0
3035,7,7,2023-04-15,HOMEPAGE,View,130.0
543,7,7,2024-06-26,CHECKOUT,Drop-off,199.6
2229,7,8,2023-06-11,PRODUCTPAGE,Click,181.0
2191,7,8,2024-12-23,PRODUCTPAGE,Click,289.0
2787,7,8,2025-07-21,HOMEPAGE,Click,91.0
3556,7,9,2025-09-06,CHECKOUT,Purchase,23.0
299,7,9,2025-10-27,HOMEPAGE,View,195.0
184,7,11,2024-09-30,PRODUCTPAGE,View,250.0
103,7,11,2025-12-06,CHECKOUT,Drop-off,35.5
3363,7,13,2024-06-24,HOMEPAGE,Click,156.0
3858,7,14,2023-05-12,HOMEPAGE,View,125.0
1186,7,14,2023-08-08,PRODUCTPAGE,Click,272.0
2199,7,15,2023-01-31,HOMEPAGE,View,122.0
1004,7,15,2024-05-10,HOMEPAGE,View,23.0
2095,7,16,2024-11-10,HOMEPAGE,Click,57.0
1208,7,18,2025-03-22,PRODUCTPAGE,Click,124.0
3649,7,18,2025-11-29,PRODUCTPAGE,View,276.0
430,7,20,2025-01-19,PRODUCTPAGE,Click,63.0
3596,8,1,2024-03-05,HOMEPAGE,View,195.0
167,8,4,2023-02-18,PRODUCTPAGE,View,133.0
1055,8,4,2024-12-29,PRODUCTPAGE,View,133.0
195,8,4,2025-08-12,HOMEPAGE,Click,16.0
1313,8,5,2023-02-07,PRODUCTPAGE,View,79.0
3726,8,5,2024-05-05,HOMEPAGE,View,106.0
3829,8,5,2024-11-02,CHECKOUT,Drop-off,150.0
3752,8,6,2024-10-30,PRODUCTPAGE,View,141.0
3665,8,7,2024-06-18,PRODUCTPAGE,Click,38.0
829,8,8,2023-03-21,HOMEPAGE,Click,295.0
3256,8,8,2024-05-08,HOMEPAGE,View,55.0
742,8,9,2023-06-04,HOMEPAGE,View,79.0
1015,8,11,2024-01-14,CHECKOUT,Purchase,98.0
2592,8,12,2023-10-12,PRODUCTPAGE,View,15.0
557,8,12,2025-07-16,CHECKOUT,Drop-off,215.125
2742,8,13,2023-02-20,HOMEPAGE,Click,292.0
1060,8,13,2023-03-29,HOMEPAGE,Click,264.0
2519,8,13,2024-05-22,PRODUCTPAGE,View,216.0
2977,8,13,2024-06-09,HOMEPAGE,Click,284.0
1870,8,14,2023-03-15,HOMEPAGE,View,241.0
2846,8,14,2024-05-29,HOMEPAGE,View,109.0
3037,8,14,2024-08-21,CHECKOUT,Drop-off,121.0
896,8,16,2023-06-26,PRODUCTPAGE,View,273.0
2313,8,16,2023-07-18,PRODUCTPAGE,View,160.0
807,8,16,2024-06-07,HOMEPAGE,Click,94.0
2374,8,17,2025-09-12,HOMEPAGE,View,293.0
995,8,17,2025-09-29,PRODUCTPAGE,View,135.0
2643,8,18,2023-09-26,HOMEPAGE,View,110.0
3444,8,18,2025-08-24,HOMEPAGE,Click,77.0
2286,8,19,2023-11-20,HOMEPAGE,View,63.0
2750,8,19,2024-04-23,HOMEPAGE,View,40.0
2984,8,19,2025-12-25,CHECKOUT,Purchase,283.0
1593,8,20,2023-02-09,HOMEPAGE,View,252.0
2043,8,20,2023-06-19,HOMEPAGE,View,69.0
1222,9,1,2023-03-27,HOMEPAGE,Click,238.0
3574,9,1,2023-07-05,PRODUCTPAGE,Click,245.0
19,9,1,2024-08-15,HOMEPAGE,View,187.0
15,9,1,2025-11-04,PRODUCTPAGE,View,292.0
2569,9,4,2024-12-16,PRODUCTPAGE,Click,98.0
1701,9,5,2024-04-25,PRODUCTPAGE,View,95.0
2713,9,6,2025-06-20,HOMEPAGE,View,45.0
2995,9,7,2025-11-12,HOMEPAGE,View,83.0
269,9,7,2025-11-14,HOMEPAGE,Click,16.0
3810,9,8,2024-12-06,CHECKOUT,Drop-off,189.5
3314,9,9,2024-01-28,HOMEPAGE,View,172.0
1833,9,10,2024-01-30,PRODUCTPAGE,View,113.0
312,9,11,2023-05-15,CHECKOUT,Purchase,165.0
54,9,11,2024-11-19,CHECKOUT,Drop-off,153.75
2437,9,12,2023-04-27,CHECKOUT,Drop-off,157.0
3208,9,12,2024-11-18,HOMEPAGE,View,29.0
2814,9,13,2023-03-09,PRODUCTPAGE,View,78.0
1740,9,13,2023-05-31,CHECKOUT,Drop-off,184.0
1669,9,15,2024-02-18,HOMEPAGE,Click,13.0
2606,9,18,2025-05-29,PRODUCTPAGE,View,137.0
3748,9,20,2023-02-15,HOMEPAGE,Click,39.0
1501,9,20,2023-11-21,PRODUCTPAGE,View,101.0
2962,9,20,2024-12-26,CHECKOUT,Drop-off,183.5
1816,9,20,2025-08-10,CHECKOUT,Drop-off,103.14285714285714
2206,10,1,2025-03-10,HOMEPAGE,Click,16.0
2955,10,3,2023-05-11,HOMEPAGE,Click,267.0
502,10,3,2023-08-19,PRODUCTPAGE,View,134.0
3774,10,3,2024-02-23,PRODUCTPAGE,Click,58.0
321,10,3,2024-11-24,CHECKOUT,Drop-off,151.66666666666666
3827,10,3,2024-11-24,HOMEPAGE,View,90.0
867,10,4,2024-01-11,HOMEPAGE,View,219.0
1920,10,4,2024-09-05,PRODUCTPAGE,Click,21.0
281,10,4,2025-01-06,HOMEPAGE,View,236.0
2026,10,5,2024-02-15,HOMEPAGE,Click,295.0
2704,10,5,2024-04-23,HOMEPAGE,View,265.0
348,10,5,2025-01-27,HOMEPAGE,View,144.0
3065,10,5,2025-09-17,HOMEPAGE,View,261.0
3588,10,6,2025-06-17,PRODUCTPAGE,View,199.0
613,10,7,2023-10-17,HOMEPAGE,View,245.0
3091,10,7,2023-11-27,HOMEPAGE,View,196.0
2543,10,7,2025-02-13,PRODUCTPAGE,Click,215.0
1231,10,8,2024-06-21,HOMEPAGE,View,240.0
124,10,8,2024-07-27,PRODUCTPAGE,View,262.0
650,10,8,2025-06-17,HOMEPAGE,View,257.0
3047,10,9,2024-11-11,HOMEPAGE,Click,227.0
3617,10,10,2023-02-05,HOMEPAGE,View,237.0
3365,10,10,2023-02-11,CHECKOUT,Drop-off,104.6
2681,10,10,2025-05-21,CHECKOUT,Purchase,171.0
1795,10,11,2024-03-15,PRODUCTPAGE,View,174.0
236,10,11,2025-07-27,HOMEPAGE,Click,209.0
2345,10,12,2025-06-20,HOMEPAGE,View,278.0
1790,10,13,2023-11-01,HOMEPAGE,View,111.0
833,10,13,2024-09-07,HOMEPAGE,View,223.0
2981,10,14,2024-04-10,PRODUCTPAGE,Click,284.0
1181,10,15,2023-04-26,HOMEPAGE,View,59.0
571,10,15,2025-01-05,HOMEPAGE,View,48.0
3401,10,16,2023-02-27,HOMEPAGE,Click,33.0
748,10,16,2023-11-16,HOMEPAGE,View,246.0
1957,10,16,2024-03-11,HOMEPAGE,Click,172.0
1746,10,19,2023-02-02,PRODUCTPAGE,Click,212.0
3031,10,19,2023-07-23,HOMEPAGE,View,190.0
2571,10,19,2024-01-16,PRODUCTPAGE,Click,33.0
2971,10,19,2024-05-05,HOMEPAGE,View,138.0
2276,10,19,2025-11-07,HOMEPAGE,View,12.0
1108,10,20,2024-07-25,PRODUCTPAGE,View,252.0
2550,10,20,2024-07-29,PRODUCTPAGE,Click,142.0
3467,11,1,2024-02-07,PRODUCTPAGE,Click,30.0
3593,11,2,2025-07-09,HOMEPAGE,View,73.0
2842,11,3,2025-10-28,PRODUCTPAGE,View,156.0
991,11,4,2023-10-22,PRODUCTPAGE,View,273.0
3265,11,5,2025-05-02,HOMEPAGE,View,160.0
3914,11,6,2023-02-18,PRODUCTPAGE,View,297.0
2384,11,7,2023-01-08,PRODUCTPAGE,Click,17.0
3251,11,8,2025-11-27,PRODUCTPAGE,View,52.0
1561,11,11,2024-11-01,CHECKOUT,Drop-off,81.66666666666667
1159,11,12,2023-04-19,HOMEPAGE,Click,20.0
140,11,12,2024-01-26,CHECKOUT,Drop-off,155.5
3571,11,13,2024-11-02,HOMEPAGE,View,248.0
357,11,13,2025-04-02,HOMEPAGE,View,174.0
611,11,13,2025-08-30,PRODUCTPAGE,View,196.0
1303,11,14,2023-10-04,PRODUCTPAGE,View,77.0
327,11,14,2024-04-29,HOMEPAGE,View,204.0
2779,11,14,2024-05-19,HOMEPAGE,View,39.0
3163,11,14,2024-12-05,CHECKOUT,Drop-off,90.85714285714286
2207,11,14,2025-03-17,HOMEPAGE,Click,52.0
2635,11,14,2025-05-30,CHECKOUT,Purchase,184.0
1465,11,14,2025-12-16,CHECKOUT,Drop-off,
2246,11,15,2023-06-04,PRODUCTPAGE,View,114.0
2391,11,15,2024-07-22,CHECKOUT,Drop-off,177.0
2113,11,16,2024-10-12,PRODUCTPAGE,View,137.0
1534,11,17,2025-01-02,HOMEPAGE,View,208.0
1603,11,17,2025-02-18,PRODUCTPAGE,View,14.0
3038,11,18,2023-06-03,PRODUCTPAGE,View,157.0
2843,11,20,2023-07-28,PRODUCTPAGE,View,101.0
3140,11,20,2024-01-28,HOMEPAGE,View,157.0
3130,12,1,2023-02-05,PRODUCTPAGE,Drop-off,229.33333333333334
2482,12,1,2025-02-07,HOMEPAGE,View,280.0
22,12,1,2025-11-19,HOMEPAGE,Click,20.0
1448,12,5,2024-03-27,PRODUCTPAGE,View,87.0
2585,12,5,2024-10-12,PRODUCTPAGE,View,272.0
789,12,7,2023-10-22,HOMEPAGE,Click,246.0
3075,12,8,2023-07-03,PRODUCTPAGE,View,287.0
3359,12,8,2024-01-23,CHECKOUT,Drop-off,106.0
2380,12,9,2023-01-11,CHECKOUT,Purchase,123.0
3219,12,9,2024-08-15,HOMEPAGE,View,169.0
2732,12,9,2024-09-21,PRODUCTPAGE,Click,123.0
852,12,9,2024-10-14,CHECKOUT,Drop-off,146.0
843,12,10,2023-08-08,PRODUCTPAGE,View,30.0
225,12,10,2023-11-27,PRODUCTPAGE,View,163.0
2175,12,10,2024-03-28,HOMEPAGE,Click,280.0
1890,12,11,2023-09-30,HOMEPAGE,Click,162.0
1799,12,11,2023-10-28,HOMEPAGE,Click,167.0
1469,12,12,2023-11-12,PRODUCTPAGE,View,188.0
254,12,12,2025-02-09,HOMEPAGE,Click,255.0
521,12,13,2024-03-25,CHECKOUT,Drop-off,108.0
1551,12,14,2023-06-26,CHECKOUT,Drop-off,197.5
3673,12,14,2023-10-21,CHECKOUT,Drop-off,56.0
1056,12,15,2025-03-31,PRODUCTPAGE,View,145.0
2776,12,17,2024-06-19,HOMEPAGE,View,116.0
1113,12,17,2024-09-18,PRODUCTPAGE,View,291.0
29,12,17,2025-06-01,HOMEPAGE,View,205.0
1570,12,17,2025-08-16,PRODUCTPAGE,View,247.0
2617,12,19,2023-04-15,PRODUCTPAGE,View,142.0
1911,12,19,2024-03-28,CHECKOUT,Drop-off,172.0
1009,12,19,2025-03-29,CHECKOUT,Drop-off,124.5
637,12,20,2024-08-26,HOMEPAGE,View,122.0
1891,12,20,2025-07-18,PRODUCTPAGE,Click,285.0
2708,12,20,2025-12-30,CHECKOUT,Purchase,33.0
2067,13,1,2023-11-05,HOMEPAGE,Click,255.0
702,13,2,2023-01-28,PRODUCTPAGE,View,161.0
787,13,2,2024-03-23,PRODUCTPAGE,View,118.0
1062,13,2,2025-12-14,HOMEPAGE,Click,21.0
756,13,3,2024-08-20,CHECKOUT,Drop-off,213.0
2132,13,4,2023-03-17,PRODUCTPAGE,View,22.0
318,13,4,2025-02-01,HOMEPAGE,View,221.0
1653,13,4,2025-10-08,CHECKOUT,Drop-off,161.0
610,13,6,2023-02-24,CHECKOUT,Drop-off,209.0
317,13,6,2023-03-22,HOMEPAGE,View,88.0
251,13,6,2023-12-10,HOMEPAGE,View,102.0
1269,13,7,2023-02-14,HOMEPAGE,Click,146.0
2235,13,8,2023-05-14,CHECKOUT,Drop-off,211.0
671,13,8,2023-12-12,HOMEPAGE,View,263.0
2559,13,9,2023-02-08,CHECKOUT,Drop-off,234.5
1182,13,10,2024-07-14,HOMEPAGE,View,159.0
194,13,11,2025-04-27,HOMEPAGE,View,54.0
3068,13,12,2025-06-22,HOMEPAGE,View,143.0
2255,13,12,2025-09-23,HOMEPAGE,View,281.0
1294,13,12,2025-11-17,HOMEPAGE,View,59.0
1129,13,13,2024-10-06,CHECKOUT,Drop-off,136.0
602,13,13,2024-11-05,HOMEPAGE,View,98.0
965,13,14,2023-12-07,CHECKOUT,Drop-off,230.5
2623,13,15,2023-04-28,HOMEPAGE,View,138.0
2593,13,16,2023-01-07,PRODUCTPAGE,View,184.0
1486,13,16,2023-09-23,HOMEPAGE,View,285.0
2555,13,16,2025-10-06,PRODUCTPAGE,View,297.0
38,13,18,2023-02-23,PRODUCTPAGE,View,227.0
1235,13,18,2025-07-25,PRODUCTPAGE,View,154.0
1699,13,19,2024-04-06,PRODUCTPAGE,View,61.0
1402,13,19,2024-07-02,PRODUCTPAGE,Click,247.0
3882,13,20,2023-05-27,CHECKOUT,Drop-off,94.5
3679,14,1,2023-12-17,PRODUCTPAGE,Click,175.0
760,14,3,2024-04-22,PRODUCTPAGE,View,227.0
2553,14,4,2024-06-21,PRODUCTPAGE,Click,214.0
3609,14,5,2023-03-05,CHECKOUT,Drop-off,170.0
108,14,5,2023-03-06,PRODUCTPAGE,View,245.0
393,14,5,2024-05-26,PRODUCTPAGE,View,120.0
3183,14,5,2025-08-09,PRODUCTPAGE,Click,176.0
3597,14,5,2025-11-10,HOMEPAGE,View,83.0
1606,14,6,2024-06-19,HOMEPAGE,Click,164.0
3147,14,7,2024-11-11,PRODUCTPAGE,Click,125.0
89,14,9,2025-04-18,HOMEPAGE,Click,104.0
302,14,10,2023-08-16,CHECKOUT,Drop-off,
1192,14,10,2024-12-10,HOMEPAGE,View,106.0
2717,14,12,2023-03-02,HOMEPAGE,View,291.0
704,14,13,2023-08-24,CHECKOUT,Drop-off,191.25
2150,14,13,2023-10-23,HOMEPAGE,Click,121.0
14,14,13,2025-11-01,PRODUCTPAGE,View,13.0
510,14,14,2023-12-21,CHECKOUT,Drop-off,
3129,14,15,2023-08-25,PRODUCTPAGE,Click,192.0
516,14,15,2023-09-26,CHECKOUT,Drop-off,138.25
3279,14,15,2023-10-31,HOMEPAGE,Click,43.0
3291,14,15,2023-11-21,CHECKOUT,Drop-off,100.25
3499,14,16,2023-06-24,PRODUCTPAGE,Click,141.0
471,14,16,2024-02-01,PRODUCTPAGE,Click,10.0
16,14,16,2024-07-17,HOMEPAGE,View,46.0
1408,14,16,2024-10-29,HOMEPAGE,Click,288.0
3527,14,17,2023-07-07,CHECKOUT,Drop-off,297.0
2123,14,17,2025-03-03,HOMEPAGE,View,49.0
1075,14,18,2023-07-20,HOMEPAGE,Click,186.0
1698,14,18,2025-05-02,CHECKOUT,Drop-off,160.0
1177,14,19,2024-12-10,CHECKOUT,Drop-off,135.6
2219,14,20,2024-01-02,HOMEPAGE,Click,145.0
3759,15,1,2023-03-04,HOMEPAGE,View,51.0
2529,15,1,2024-02-05,CHECKOUT,Drop-off,94.0
1407,15,1,2024-03-23,PRODUCTPAGE,View,102.0
1228,15,1,2024-12-23,CHECKOUT,Drop-off,157.33333333333334
3234,15,2,2023-06-21,PRODUCTPAGE,View,13.0
2422,15,2,2023-11-29,PRODUCTPAGE,View,185.0
647,15,2,2024-09-22,HOMEPAGE,View,96.0
148,15,3,2025-10-22,PRODUCTPAGE,View,185.0
1847,15,3,2025-11-30,HOMEPAGE,View,38.0
2728,15,4,2023-01-12,HOMEPAGE,Click,239.0
2401,15,4,2023-07-02,HOMEPAGE,Click,86.0
1602,15,5,2025-01-21,CHECKOUT,Drop-off,159.0
547,15,7,2023-05-24,PRODUCTPAGE,View,13.0
766,15,7,2025-07-04,CHECKOUT,Drop-off,175.83333333333334
449,15,8,2025-04-10,PRODUCTPAGE,View,83.0
1760,15,9,2023-08-06,CHECKOUT,Drop-off,169.5
240,15,9,2023-09-16,HOMEPAGE,Click,103.0
1272,15,9,2023-10-06,PRODUCTPAGE,Click,69.0
